project_name,state,capacity_mw,fuel_source,committed_month,committed_year,project_stage
East Rockingham Resource Recovery Facility,WA,29.0,Biomass,2019-12-01,2019,committed
Mangalore Renewable Energy Project,VIC,5.0,Solar,2021-09-01,2021,committed
Orange Community Renewable Energy Park,NSW,5.0,Solar,2022-07-01,2022,committed
Moorebank Logistics Park,NSW,60.0,Solar,2022-09-01,2022,committed
Wangaratta Solar Farm,VIC,40.0,Solar,2023-07-01,2023,committed
Kidston Pumped Hydro Storage Project,QLD,250.0,Hydro,2023-07-01,2023,committed
New England Solar Farm - Stage 2,NSW,320.0,Solar,2023-07-01,2023,committed
Bellevue Gold Hybrid Power Station (Wind),WA,24.0,Wind,2023-09-01,2023,committed
Glenellen solar project,NSW,200.0,Solar,2023-11-01,2023,committed
Forest Glen Solar Farm,NSW,90.0,Solar,2023-12-01,2023,committed
Uungula Wind Farm,NSW,414.0,Wind,2024-01-01,2024,committed
Munna Creek Solar Farm,QLD,150.0,Solar,2024-01-01,2024,committed
St Ives Gold Solar Farm,WA,77.0,Wind,2024-03-01,2024,committed
Gunsynd Solar Farm,QLD,94.0,Solar,2024-03-01,2024,committed
Aldoga Solar Farm,QLD,380.0,Solar,2024-04-01,2024,committed
Arnotts Huntingwood Solar Project,NSW,4.95,Solar,2024-05-01,2024,committed
Quorn Park Solar Hybrid,NSW,98.0,Solar,2024-06-01,2024,committed
Golden Plains Wind Farm - Stage 2,VIC,574.0,Wind,2024-06-01,2024,committed
Lotus Creek Wind Farm,QLD,285.0,Wind,2024-08-01,2024,committed
Goorambat Solar Farm,VIC,250.0,Solar,2024-08-01,2024,committed
Hay Solar Farm,NSW,7.5,Solar,2024-09-01,2024,committed
Broadsound Solar Farm,QLD,376.0,Solar,2024-09-01,2024,committed
Boulder Creek Wind Farm,QLD,228.0,Wind,2024-09-01,2024,committed
Horsham Solar Farm,VIC,118.8,Solar,2024-11-01,2024,committed
Carwarp Energy Park,VIC,171.0,Solar,2024-12-01,2024,committed
Goulburn River Solar Farm,NSW,450.0,Solar,2024-12-01,2024,committed
Wambo Wind Farm Stage 2,QLD,254.0,Wind,2024-12-01,2024,committed
Warradarge Wind Farm Stage 2,WA,108.0,Wind,2024-12-01,2024,committed
Bungama Solar Farm (stage 3),SA,280.0,Solar,2025-02-01,2025,committed
Fulham Solar Farm,VIC,80.0,Solar,2025-04-01,2025,committed
Cloudbreak Solar Farm,WA,190.0,Solar,2025-04-01,2025,committed
Port Latta Wind Farm,TAS,25.0,Wind,2025-04-01,2025,committed
Wandoan South Solar Farm (Stage 2),QLD,240.0,Solar,2025-04-01,2025,committed
Lancaster Solar Farm,VIC,106.0,Solar,2025-06-01,2025,committed
Mulwala Solar Farm,NSW,31.0,Solar,2025-06-01,2025,committed
