Label,Year,Estimated resident population - males (no.),Estimated resident population - females (no.)
NSW,2011,0,0
NSW,2016,0,0
NSW,2018,0,0
NSW,2019,3999452,4047296
NSW,2020,4030710,4079900
NSW,2021,4025393,4071669
NSW,2022,4059763,4106941
NSW,2023,4149141,4193144
NSW,2024,0,0
VIC,2011,0,0
VIC,2016,0,0
VIC,2018,0,0
VIC,2019,3236531,3300774
VIC,2020,3273674,3341372
VIC,2021,3237594,3310228
VIC,2022,3277761,3352870
VIC,2023,3370392,3445049
VIC,2024,0,0
QLD,2011,0,0
QLD,2016,0,0
QLD,2018,0,0
QLD,2019,2521333,2567514
QLD,2020,2558538,2607075
QLD,2021,2585543,2630271
QLD,2022,2635789,2685152
QLD,2023,2704203,2756217
QLD,2024,0,0
SA,2011,0,0
SA,2016,0,0
SA,2018,0,0
SA,2019,873494,893901
SA,2020,884465,905890
SA,2021,891067,911534
SA,2022,900132,921083
SA,2023,915999,936285
SA,2024,0,0
WA,2011,0,0
WA,2016,0,0
WA,2018,0,0
WA,2019,1331167,1328458
WA,2020,1357131,1355781
WA,2021,1376317,1373048
WA,2022,1398351,1393443
WA,2023,1445251,1435976
WA,2024,0,0
TAS,2011,0,0
TAS,2016,0,0
TAS,2018,0,0
TAS,2019,271197,276644
TAS,2020,275981,281597
TAS,2021,281404,285835
TAS,2022,283159,287892
TAS,2023,284032,289124
TAS,2024,0,0
NT,2011,0,0
NT,2016,0,0
NT,2018,0,0
NT,2019,126289,120270
NT,2020,126013,121415
NT,2021,126166,121985
NT,2022,127000,123228
NT,2023,127821,124708
NT,2024,0,0
ACT,2011,0,0
ACT,2016,0,0
ACT,2018,0,0
ACT,2019,215222,220508
ACT,2020,219576,225327
ACT,2021,223361,229147
ACT,2022,225599,231316
ACT,2023,230321,236245
ACT,2024,0,0
NSW,2011,0,0
NSW,2016,0,0
NSW,2018,0,0
NSW,2019,2615130,2641706
NSW,2020,2633132,2662397
NSW,2021,2615806,2645995
NSW,2022,2636699,2667095
NSW,2023,2711359,2739137
NSW,2024,0,0
NSW,2011,0,0
NSW,2016,0,0
NSW,2018,0,0
NSW,2019,1384322,1405590
NSW,2020,1397578,1417503
NSW,2021,1409587,1425674
NSW,2022,1423064,1439846
NSW,2023,1437782,1454007
NSW,2024,0,0
VIC,2011,0,0
VIC,2016,0,0
VIC,2018,0,0
VIC,2019,2478131,2528326
VIC,2020,2504726,2556381
VIC,2021,2460787,2514532
VIC,2022,2491856,2547805
VIC,2023,2576279,2630866
VIC,2024,0,0
VIC,2011,0,0
VIC,2016,0,0
VIC,2018,0,0
VIC,2019,758400,772448
VIC,2020,768948,784991
VIC,2021,776807,795696
VIC,2022,785905,805065
VIC,2023,794113,814183
VIC,2024,0,0
QLD,2011,0,0
QLD,2016,0,0
QLD,2018,0,0
QLD,2019,1238179,1264899
QLD,2020,1259201,1286178
QLD,2021,1272285,1295429
QLD,2022,1300582,1325164
QLD,2023,1341152,1365814
QLD,2024,0,0
QLD,2011,0,0
QLD,2016,0,0
QLD,2018,0,0
QLD,2019,1283154,1302615
QLD,2020,1299337,1320897
QLD,2021,1313258,1334842
QLD,2022,1335207,1359988
QLD,2023,1363051,1390403
QLD,2024,0,0
SA,2011,0,0
SA,2016,0,0
SA,2018,0,0
SA,2019,672769,699645
SA,2020,681799,710956
SA,2021,686223,715649
SA,2022,694226,724097
SA,2023,708515,737865
SA,2024,0,0
SA,2011,0,0
SA,2016,0,0
SA,2018,0,0
SA,2019,200725,194256
SA,2020,202666,194934
SA,2021,204844,195885
SA,2022,205906,196986
SA,2023,207484,198420
SA,2024,0,0
WA,2011,0,0
WA,2016,0,0
WA,2018,0,0
WA,2019,1052319,1061865
WA,2020,1075030,1086531
WA,2021,1090684,1101154
WA,2022,1109566,1118454
WA,2023,1152158,1157180
WA,2024,0,0
WA,2011,0,0
WA,2016,0,0
WA,2018,0,0
WA,2019,278848,266593
WA,2020,282101,269250
WA,2021,285633,271894
WA,2022,288785,274989
WA,2023,293093,278796
WA,2024,0,0
TAS,2011,0,0
TAS,2016,0,0
TAS,2018,0,0
TAS,2019,118958,123540
TAS,2020,120544,126315
TAS,2021,122652,128065
TAS,2022,123525,128964
TAS,2023,123941,129713
TAS,2024,0,0
TAS,2011,0,0
TAS,2016,0,0
TAS,2018,0,0
TAS,2019,152239,153104
TAS,2020,155437,155282
TAS,2021,158752,157770
TAS,2022,159634,158928
TAS,2023,160091,159411
TAS,2024,0,0
NT,2011,0,0
NT,2016,0,0
NT,2018,0,0
NT,2019,76540,70711
NT,2020,76318,71355
NT,2021,76275,71696
NT,2022,76617,72537
NT,2023,77111,73625
NT,2024,0,0
NT,2011,0,0
NT,2016,0,0
NT,2018,0,0
NT,2019,49749,49559
NT,2020,49695,50060
NT,2021,49891,50289
NT,2022,50383,50691
NT,2023,50710,51083
NT,2024,0,0
ACT,2011,0,0
ACT,2016,0,0
ACT,2018,0,0
ACT,2019,215222,220508
ACT,2020,219576,225327
ACT,2021,223361,229147
ACT,2022,225599,231316
ACT,2023,230321,236245
ACT,2024,0,0
ACT,2011,0,0
ACT,2016,0,0
ACT,2018,0,0
ACT,2019,215222,220508
ACT,2020,219576,225327
ACT,2021,223361,229147
ACT,2022,225599,231316
ACT,2023,230321,236245
ACT,2024,0,0
